trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
134,False,"{'a': 0.1, 'e': 0.9731788727770883}",20,1,-9.829767386990877,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.1, 'e': 0.9727758782093966}",20,0,-143.92905633095825,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
136,False,"{'a': 0.1, 'e': 0.9723699203976766}",20,0,-146.53835594492995,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
137,False,"{'a': 0.1, 'e': 0.9719610005785463}",20,0,-26.351093247561927,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
138,False,"{'a': 0.1, 'e': 0.9715491199976461}",20,0,-99.26850534039865,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
139,False,"{'a': 0.1, 'e': 0.9711342799096361}",20,0,-196.88195100591216,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
140,False,"{'a': 0.1, 'e': 0.9707164815781908}",20,0,-105.35162840721885,"{0: 8, 1: 4, 2: 7, 3: 1, 4: 0}",0
141,False,"{'a': 0.1, 'e': 0.9702957262759965}",30,0,-89.25343000947485,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
142,False,"{'a': 0.1, 'e': 0.9698720152847468}",20,0,-103.89642531796682,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
143,False,"{'a': 0.1, 'e': 0.9694453498951389}",20,0,-73.27242008067032,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
144,False,"{'a': 0.1, 'e': 0.9690157314068695}",20,0,-146.75040705620776,"{0: 9, 1: 2, 2: 5, 3: 3, 4: 1}",0
145,False,"{'a': 0.1, 'e': 0.9685831611286311}",30,0,-197.6029651048914,"{0: 14, 1: 3, 2: 8, 3: 4, 4: 1}",0
146,False,"{'a': 0.1, 'e': 0.9681476403781077}",20,0,-149.87022657502712,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
147,False,"{'a': 0.1, 'e': 0.9677091704819712}",25,0,-146.0161188308728,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
148,False,"{'a': 0.1, 'e': 0.9672677527758768}",30,0,-101.41847809401378,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
149,False,"{'a': 0.1, 'e': 0.9668233886044594}",30,0,-302.8750709647591,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 5}",0
150,False,"{'a': 0.1, 'e': 0.9663760793213293}",20,0,-91.27374306884201,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
151,False,"{'a': 0.1, 'e': 0.9659258262890683}",25,0,-214.13274515388446,"{0: 11, 1: 3, 2: 5, 3: 4, 4: 2}",0
152,False,"{'a': 0.1, 'e': 0.9654726308792251}",25,0,-108.05818966809463,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 0}",0
153,False,"{'a': 0.1, 'e': 0.9650164944723114}",20,0,-170.95925592522752,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
154,False,"{'a': 0.1, 'e': 0.9645574184577981}",20,0,-157.98355538994514,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
155,False,"{'a': 0.1, 'e': 0.9640954042341101}",20,0,-95.0559871910755,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
156,False,"{'a': 0.1, 'e': 0.963630453208623}",20,10,-46.53129401250199,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 1}",1
157,False,"{'a': 0.1, 'e': 0.9631625667976581}",25,0,-17.04577044157887,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
158,False,"{'a': 0.1, 'e': 0.9626917464264788}",35,5,-142.6879262524898,"{0: 16, 1: 4, 2: 7, 3: 2, 4: 1}",1
159,False,"{'a': 0.1, 'e': 0.9622179935292854}",20,6,-30.875114533185016,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 0}",1
160,False,"{'a': 0.1, 'e': 0.9617413095492113}",25,0,-186.51841666655088,"{0: 10, 1: 5, 2: 5, 3: 4, 4: 1}",0
161,False,"{'a': 0.1, 'e': 0.9612616959383189}",25,0,-91.52498986325635,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
162,False,"{'a': 0.1, 'e': 0.9607791541575941}",30,0,-85.27285495414141,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
163,False,"{'a': 0.1, 'e': 0.9602936856769431}",30,0,-92.17966931582004,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
164,False,"{'a': 0.1, 'e': 0.9598052919751869}",20,0,-127.07236579400035,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
165,False,"{'a': 0.1, 'e': 0.9593139745400575}",25,0,-89.34844926124711,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
166,False,"{'a': 0.1, 'e': 0.958819734868193}",30,0,-159.84236645013368,"{0: 18, 1: 6, 2: 3, 3: 0, 4: 3}",0
167,False,"{'a': 0.1, 'e': 0.9583225744651332}",20,2,-64.7077132860571,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
168,False,"{'a': 0.1, 'e': 0.9578224948453149}",20,12,-14.84810916190682,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
169,False,"{'a': 0.1, 'e': 0.9573194975320672}",25,0,-202.85443054167098,"{0: 12, 1: 4, 2: 4, 3: 2, 4: 3}",0
170,False,"{'a': 0.1, 'e': 0.9568135840576074}",30,0,-206.00184811853882,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
171,False,"{'a': 0.1, 'e': 0.9563047559630354}",20,0,-121.78154377338787,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
172,False,"{'a': 0.1, 'e': 0.9557930147983301}",20,0,-154.98977445533242,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
173,False,"{'a': 0.1, 'e': 0.9552783621223436}",20,0,-73.12756986928336,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
174,False,"{'a': 0.1, 'e': 0.9547607995027975}",20,0,-98.15966208755687,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
175,False,"{'a': 0.1, 'e': 0.9542403285162768}",20,0,-39.71034620423965,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
176,False,"{'a': 0.1, 'e': 0.9537169507482269}",25,14,-44.27409569069679,"{0: 5, 1: 4, 2: 1, 3: 1, 4: 0}",1
177,False,"{'a': 0.1, 'e': 0.953190667792947}",20,0,-61.42311261283076,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
178,False,"{'a': 0.1, 'e': 0.9526614812535863}",20,0,-75.00189920649886,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
179,False,"{'a': 0.1, 'e': 0.9521293927421387}",25,0,-116.2860284472925,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
180,False,"{'a': 0.1, 'e': 0.9515944038794382}",20,0,-233.33980719718292,"{0: 6, 1: 5, 2: 3, 3: 3, 4: 3}",0
181,False,"{'a': 0.1, 'e': 0.9510565162951535}",30,0,-111.80006606723447,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
182,False,"{'a': 0.1, 'e': 0.9505157316277837}",25,0,-117.01094847665016,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
